ident;noi;wpela15;couple;chom_mens;nbmois_sal;cal0;age;duree_ss_emploi;etudes_sup;bac_plusdeux;bac;cap_brevet;pas_diplome;nbmois_cho;ass;sexe;moins_30
13000009;02;550.32018384;1;736;7;133331111114;33;1;0;1;0;0;0;1;;0;0
13000011;02;463.68045618;1;1008.0833333;0.8086586343;444444444444;32;2;0;0;0;1;0;12;0;1;0
13000026;02;511.13836136;0;564.125;3.6264765806;111144444444;24;3;0;0;0;0;1;8;;1;1
13000026;03;511.13836136;0;262.83333333;3.8758037658;144441111441;21;1;0;0;1;0;0;6;;0;1
13000032;01;804.99812631;1;4319.25;2.8247074767;444477711111;33;1;0;1;0;0;0;4;;1;0
13000070;01;461.4398148;1;1500.5;6;444444111111;53;1;0;0;0;0;1;6;0;1;0
13000077;01;398.06303289;0;500.23888889;0;444444444888;59;8;0;0;0;0;1;9;;0;0
13000083;01;704.43107836;0;5070;1;499977766691;26;2;0;0;0;1;0;1;;0;1
13000083;02;704.43107836;0;414.5875;0.8232988865;444444444444;26;2;0;0;0;1;0;12;;1;1
13000109;01;565.1237384;1;496.00416667;0;444444444444;57;5;0;0;0;0;1;12;;1;0
13000110;02;540.69772103;1;395.42727273;1;144444444444;45;2;0;0;0;0;1;11;;0;0
13000115;01;564.09103974;0;496.00416667;0;444444444444;51;4;0;0;0;0;1;12;;0;0
13000122;01;362.23034866;1;502.35625;4;444444441111;40;0;0;0;0;1;0;8;;1;0
13000174;01;547.30939088;0;322.2;1.9772952337;111114333344;52;4;0;0;0;0;1;3;;0;0
13000191;01;2298.4416243;0;508.70833333;0;444444222222;46;0;1;0;0;0;0;6;;1;0
13000200;01;528.88192002;0;496.00416667;0;444444444444;43;2;0;0;0;1;0;12;1;1;0
13000201;01;843.12621012;1;496.00416667;0;444444444444;56;4;0;0;0;1;0;12;;1;0
13000246;02;533.95336478;0;1425.5714286;5;111114444444;27;0;0;0;0;1;0;7;;1;1
13000282;02;378.16778772;1;619.27272727;1;144444444444;23;0;0;0;0;1;0;11;;0;1
13000289;01;378.65635954;1;324.33333333;3;114144444444;40;1;0;0;0;0;1;9;;1;0
13000293;01;1032.7960151;0;525.08333333;0;444444444444;41;2;0;0;0;0;1;12;0;1;0
13000329;01;998.82399078;0;3780.6;0;444422222224;32;1;0;0;1;0;0;5;;0;0
