ident;noi;wpela15;couple;chom_mens;nbmois_sal;cal0;anref;anleg;age;duree_ss_emploi;pas_diplome;nbmois_cho;ass;sexe;moins_30
13000009;02;550.39554196;1;368;6;133331111144;2013;2015;33;1;0;2;;0;0
13000011;02;463.6653199;1;1008.0833333;0.8086586343;444444444444;2013;2015;32;2;0;12;0;1;0
13000026;02;511.09359691;0;564.125;3.6264765806;111144444444;2013;2015;24;3;1;8;;1;1
13000026;03;511.09359691;0;262.83333333;3.8758037658;144441111441;2013;2015;21;1;0;6;;0;1
13000077;01;398.10647908;0;510.93888889;0;444444444888;2013;2015;59;8;1;9;;0;0
13000083;02;704.43638713;0;425.2875;0.8232988865;444444444444;2013;2015;26;2;0;12;;1;1
13000109;01;564.91015146;1;506.70416667;0;444444444444;2013;2015;57;5;1;12;;1;0
13000110;02;540.45509718;1;404.18181818;1;144444444444;2013;2015;45;2;1;11;;0;0
13000115;01;564.23306855;0;506.70416667;0;444444444444;2013;2015;51;4;1;12;;0;0
13000122;01;362.0805457;1;2197.25;4;444444441111;2013;2015;40;0;0;8;;1;0
13000174;01;547.49344863;0;329.33333333;1.9772952337;111114333344;2013;2015;52;4;1;3;;0;0
13000191;01;2299.0939026;0;519.40833333;0;444444222222;2013;2015;46;0;0;6;;1;0
13000200;01;528.9543417;0;506.70416667;0;444444444444;2013;2015;43;2;0;12;1;1;0
13000201;01;843.21052091;1;506.70416667;0;444444444444;2013;2015;56;4;0;12;;1;0
13000246;02;533.67304297;0;1425.5714286;5;111114444444;2013;2015;27;0;0;7;;1;1
13000282;02;378.14583746;1;404.18181818;1;144444444444;2013;2015;23;0;0;11;;0;1
13000289;01;378.44606522;1;324.33333333;3;114144444444;2013;2015;40;1;1;9;;1;0
13000293;01;1032.8231792;0;525.08333333;0;444444444444;2013;2015;41;2;1;12;0;1;0
13000294;01;564.74741616;0;1014.6666667;6;444441111114;2013;2015;25;1;0;6;;0;1
13000329;01;998.34171657;0;3780.6;0;444422222224;2013;2015;32;1;0;5;;0;0
13000353;01;544.89882404;0;868.16666667;0.3912269066;441114441411;2013;2015;50;1;0;6;0;0;0
13000366;01;513.41703666;0;410.445;0.5976667649;444444444411;2013;2015;55;1;0;10;;1;0
13000367;02;702.14616931;1;587.44444444;3;444444444111;2013;2015;27;0;0;9;;1;1
13000376;01;513.75626179;0;426.40454545;0.3393093737;444444444441;2013;2015;45;1;1;11;;1;0
13000383;01;775.5575175;0;506.70416667;0;444444444444;2013;2015;49;7;1;12;;1;0
13000424;01;399.03768245;0;1579.6;6.5243853181;111111144444;2013;2015;34;3;0;5;0;0;0
13000427;02;378.18367892;1;216;2.8367641549;411144433333;2013;2015;54;2;0;4;;0;0
13000442;01;1092.4966856;0;2204.9166667;0;444444444444;2013;2015;28;0;0;12;;1;1
13000464;01;1533.263471;1;410.445;1.9454311554;444444444411;2013;2015;44;1;0;10;;0;0
13000490;01;528.41021147;0;506.70416667;0;444444444444;2013;2015;55;4;0;12;;1;0
13000503;01;644.72020689;0;461.76818182;0.011195487;444444444441;2013;2015;42;1;0;11;;0;0
13000506;01;721.48929933;0;666.5;10;111111111144;2013;2015;33;0;0;2;;1;0
13000538;01;669.7524183;1;1329.25;1.3770448949;444444444444;2013;2015;55;2;1;12;;1;0
13000566;01;939.37659801;0;506.70416667;0;444444444444;2013;2015;56;2;1;12;;0;0
13000574;01;588.21886167;0;690.4;7;411111114444;2013;2015;47;1;0;5;;1;0
13000593;01;368.69899794;0;510.93888889;0;444444444666;2013;2015;40;5;0;9;;0;0
13000593;02;368.69899794;0;523.95;0.2678304955;444414444444;2013;2015;39;2;1;11;;1;0
13000595;01;625.5326645;1;494.14285714;5;114111444444;2013;2015;57;3;0;7;;1;0
13000664;01;1102.2796064;0;494;0;777444444777;2013;2015;42;7;1;6;;0;0
13000726;02;845.68220791;1;321.995;2;441444414444;2013;2015;47;6;1;10;;1;0
13000732;01;227.91951541;0;335.28571429;3.8383296413;114444444111;2013;2015;53;1;1;7;0;1;0
13000779;01;351.18739789;0;1320.6666667;1.7964450599;444444444444;2013;2015;51;3;1;12;0;1;0
13000803;02;620.23765936;0;949;0.5511624345;444444444444;2013;2015;29;1;0;12;0;1;1
13000843;01;497.55118091;0;459.90625;1.4591041234;111144444444;2013;2015;61;2;0;8;;0;0
13000852;02;353.18733867;1;499.95416667;0.068034113;444444444444;2013;2015;40;4;0;12;;0;0
13000855;01;622.81402275;0;507.85909091;0;944444444444;2013;2015;60;4;0;11;;0;0
13000898;03;706.50441748;0;447.5;5.2567117188;994111111444;2013;2015;20;1;0;4;;0;1
13000900;01;883.51374223;1;584.75;3.8848339717;444444411114;2013;2015;36;0;0;8;;1;0
13000918;01;811.8419197;0;1374;1.5639234078;114444447777;2013;2015;33;1;1;6;0;1;0
13000947;01;1029.8466415;1;964.16666667;0;444444444444;2013;2015;59;3;1;12;0;1;0
13000957;01;517.164221;1;1322.4285714;3.7074285632;444444411111;2013;2015;62;1;1;7;0;0;0
13000984;01;315.93869442;0;12338;0;554555555555;2013;2015;60;7;0;1;0;0;0
13000986;01;566.27274008;1;506.70416667;0;444444444444;2013;2015;58;0;0;12;;1;0
13000997;02;542.70766126;1;490.62083333;0.1627651564;444444444444;2013;2015;20;2;1;12;;0;1
13001010;02;295.60484808;1;506.70416667;0;444444444444;2013;2015;55;4;1;12;;1;0
13001039;01;1227.4988256;1;484.0375;0.2290768868;444444444444;2013;2015;41;5;0;12;;1;0
13001056;01;459.44165726;0;423.42857143;5;111411444444;2013;2015;53;0;0;7;;1;0
13001074;02;708.51348211;0;937.2;1;144444222222;2013;2015;48;1;1;5;0;0;0
13001084;01;638.16944018;0;1244.2857143;1.2247616669;111444144441;2013;2015;29;1;0;7;0;1;1
13001096;01;430.7857601;0;911.66666667;9;111111111444;2013;2015;26;0;0;3;;1;1
13001105;02;577.2425289;0;442.9375;2.0615443487;111144444444;2013;2015;35;4;0;8;;1;0
13001150;01;225.75660866;0;1175.9090909;0.6486000791;414444444444;2013;2015;35;3;0;11;;0;0
13001154;01;712.60572924;1;1510.5555556;0.3241524068;411444444441;2013;2015;31;1;0;9;;1;0
13001189;01;1694.8041396;0;1601.6666667;0;444444444444;2013;2015;30;0;0;12;;1;0
13001208;02;396.39583608;1;929.71428571;5;111114444444;2013;2015;34;0;0;7;;1;0
13001231;01;264.46836279;0;539.33333333;3;111444333333;2013;2015;35;2;0;3;;0;0
13001298;02;364.80340987;0;459.845;2;444411444444;2013;2015;58;7;0;10;;0;0
13001319;01;413.98050346;1;819.83333333;6;441111114444;2013;2015;36;1;0;6;1;1;0
13001333;01;308.01307626;1;1758;5.934469275;411111111144;2013;2015;57;1;1;3;0;1;0
13001342;02;489.10437375;1;444.6;2;114444444444;2013;2015;32;0;0;10;;1;0
13001346;02;1019.577099;1;950.58333333;0;444444444444;2013;2015;52;2;1;12;0;1;0
13001347;01;1284.5594195;0;976.5;2;444444444411;2013;2015;37;1;0;10;;1;0
13001361;01;358.19421812;0;846;3;111444444444;2013;2015;41;2;0;9;;0;0
13001378;01;718.8689858;0;984.16666667;0;444444444444;2013;2015;58;3;0;12;0;1;0
13001378;02;718.8689858;0;430.70416667;0.7699050257;444444444444;2013;2015;52;2;1;12;1;0;0
13001401;02;1035.5194347;0;947;8;111111444411;2013;2015;27;0;1;4;;1;1
13001422;01;829.88126386;1;1108;10;111111111144;2013;2015;34;0;0;2;;0;0
13001502;01;321.13192489;0;505.28571429;5;444444411111;2013;2015;44;1;1;7;0;1;0
13001539;01;363.6771199;1;506.70416667;0;444444444444;2013;2015;45;6;0;12;;1;0
13001553;01;940.80032;0;410.2962963;1.1522739646;411144444444;2013;2015;27;0;0;9;1;0;1
13001558;01;468.39034062;0;1274.1428571;0.4174317277;112224444444;2013;2015;41;2;0;7;;0;0
13001571;02;450.56425352;1;1163.125;4;411114444444;2013;2015;35;0;1;8;;0;0
13001576;01;631.05847996;0;997.8;7;411411111444;2013;2015;35;1;0;5;;1;0
13001577;01;1012.1865125;0;440.88888889;3;444444411144;2013;2015;31;1;0;9;;0;0
13001579;02;627.46486854;1;515.14285714;2.6826109115;144444441111;2013;2015;40;1;1;7;;0;0
13001607;01;808.42360933;1;1415.4166667;2.1598677901;444444444444;2013;2015;38;2;1;12;0;1;0
13001615;02;484.23470963;1;883.18181818;0.3505048607;444144444444;2013;2015;22;1;0;11;0;0;1
13001623;04;497.31396439;0;868;5.8952727679;111111114444;2013;2015;25;0;0;4;;0;1
13001623;05;497.31396439;0;93;11;111111111114;2013;2015;25;0;0;1;;1;1
13001648;02;435.63108529;1;1125.6;2;444444444411;2013;2015;23;1;0;10;0;1;1
13001664;01;299.4061411;0;984;6.8921140049;111144111444;2013;2015;49;2;0;5;;0;0
13001673;01;1027.6359551;0;506.70416667;0;444444444444;2013;2015;39;3;0;12;;1;0
13001705;01;324.87722285;1;426.66666667;3;444444444111;2013;2015;59;1;0;9;;1;0
13001765;01;530.05188437;0;528.58636364;0.2221873564;144444444444;2013;2015;54;2;1;11;1;0;0
13001792;01;376.01952688;0;494;0;777444444444;2013;2015;48;2;1;9;;0;0
13001798;01;404.65199974;0;948.75;4;144411144444;2013;2015;24;2;0;8;;0;1
13001838;01;531.69669788;1;370.5;7.2436030842;111111114444;2013;2015;58;5;1;4;;0;0
13001860;01;1405.4783879;0;274.44444444;3.4671561894;444444999444;2013;2015;41;0;1;9;;1;0
13001901;01;699.32609877;0;988.33333333;9;411111111144;2013;2015;29;0;1;3;;1;1
13002056;01;650.97457241;1;995.83333333;0;444444444444;2013;2015;32;2;0;12;0;1;0
13002091;01;584.20176824;0;506.70416667;0;444444444444;2013;2015;42;2;0;12;;0;0
13002107;02;770.43684867;1;402.5375;1.0532369646;444444444444;2013;2015;44;2;1;12;;1;0
13002109;01;1248.4991436;0;506.70416667;0;444444444444;2013;2015;44;12;0;12;1;1;0
