ALCT;ident;noi;wpela16;couple;chom_mens;nbmois_sal;cal0;anref;anleg;age;duree_ss_emploi;pas_diplome;nbmois_cho;ass;sexe;moins_30
;14000007;01;799.270319;0;50.333333333;5.4366300366;111111444444;2014;2015;26;2;0;6;;1;1
;14000011;02;445.70121421;1;1011;0;444444444444;2014;2015;56;5;0;12;;1;0
;14000014;01;605.01238109;1;1090.7;2.2487179487;334444444444;2014;2015;46;2;1;10;;1;0
1;14000015;01;559.25321215;0;776.8;6;441191111444;2014;2015;39;3;1;5;0;1;0
;14000026;01;568.20185232;0;1051.3333333;9;111111111444;2014;2015;25;1;0;3;;0;1
;14000029;03;928.15393405;1;27.666666667;9;114441111111;2014;2015;21;1;0;3;;0;1
;14000037;01;696.61827299;0;1514.375;4;444444441111;2014;2015;50;1;0;8;;0;0
;14000045;01;822.59327844;0;780.28571429;4.5555555556;444444114111;2014;2015;38;1;0;7;;0;0
;14000046;03;1046.1057984;0;709.28571429;5;444444411111;2014;2015;44;1;0;7;;0;0
;14000062;01;491.46717336;1;158;1.4294505495;111111111144;2014;2015;25;2;1;2;;0;1
;14000072;01;752.4911484;0;311.75;8;111111114444;2014;2015;43;1;0;4;;0;0
;14000085;02;456.34703877;1;5876.5;0.0196581197;222222224444;2014;2015;31;2;0;4;;1;0
;14000107;01;864.12178805;1;1571.125;4;444111144444;2014;2015;55;2;1;8;;0;0
;14000120;01;339.31984047;1;511.42857143;0.7675213675;444444411111;2014;2015;42;1;0;7;;0;0
;14000130;02;383.29812304;1;906.33333333;6;444411111441;2014;2015;39;1;0;6;;1;0
;14000134;01;675.47661886;1;713;11;411111111111;2014;2015;41;1;0;1;;1;0
;14000148;01;667.24356034;0;508.1;0;444444444422;2014;2015;47;1;0;10;;1;0
;14000151;02;525.64744911;1;1191;12;333444444444;2014;2015;39;2;0;9;;1;0
;14000169;02;432.58868204;1;644;11;111141111111;2014;2015;35;1;0;1;;1;0
;14000177;01;877.42522006;0;709.33333333;3;444444111444;2014;2015;29;2;0;9;;0;1
;14000194;04;424.74164291;1;369.33333333;0;444444444444;2014;2015;31;2;1;12;;0;0
;14000195;01;629.05106;0;1440.1666667;6;441444111141;2014;2015;57;14;0;6;;1;0
1;14000195;02;629.05106;0;960.75;0;444444444444;2014;2015;51;2;0;12;0;0;0
;14000201;06;993.13740483;1;1403;9;444111111111;2014;2015;25;1;1;3;;1;1
;14000213;02;1079.6171287;1;753.5;0;444444444444;2014;2015;23;2;0;12;;1;1
;14000221;01;383.90186285;1;2164;0;555545555554;2014;2015;65;1;0;2;;1;0
2;14000226;01;382.88666159;0;895.22222222;3;144444444411;2014;2015;37;3;0;9;1;1;0
;14000230;01;457.4855584;1;4063.5;0.3091575092;111144111111;2014;2015;52;1;0;2;;0;0
;14000248;01;607.29003684;1;892.58333333;0;444444444444;2014;2015;35;4;0;12;;0;0
1;14000250;01;579.56652741;1;1728;10.820512821;411111111111;2014;2015;53;1;1;1;0;0;0
;14000264;01;631.12868518;1;170.18181818;0;444444444447;2014;2015;54;2;1;11;;0;0
;14000266;01;730.10342901;1;1666.3636364;0;444444444447;2014;2015;36;2;0;11;;0;0
;14000267;01;733.22965855;0;679.875;4;444444441111;2014;2015;40;3;0;8;;1;0
;14000285;01;966.20580589;1;1657.5;10;111111111441;2014;2015;45;1;0;2;;0;0
;14000294;01;373.11065535;0;371.63636364;2.0837606838;944444444444;2014;2015;39;2;0;11;;0;0
