ident;noi;wpela17;chom_mens;cal0;couple;age;age2;duree_ss_emploi;pas_diplome;nbmois_cho;nbmois_sal;ass;sexe;moins_30;entre_30_50;entre_50_65;AG;chemin_ass;nbmoischo_ant
15000037;01;744.66208505;837.25;444444444444;0;32;1024;3;0;12;0;1;1;0;1;0;32;Z:/Ines-dev\pgm\2imputations\imputation ASS;27
15000056;03;423.49186728;966;444444444444;1;44;1936;0;1;12;0;0;1;0;1;0;44;Z:/Ines-dev\pgm\2imputations\imputation ASS;24
15000063;01;728.99687141;1013.6666667;444111111111;1;49;2401;1;1;3;9;;0;0;1;0;49;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000069;02;594.25736157;5026.4;114444444444;1;39;1521;0;0;10;2;;1;0;1;0;39;Z:/Ines-dev\pgm\2imputations\imputation ASS;12
15000072;02;505.07138013;505.25;111111444411;1;44;1936;3;0;4;8;;1;0;1;0;44;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000082;02;803.63637376;215.09090909;944444444444;1;40;1600;7;0;11;0;1;0;0;1;0;40;Z:/Ines-dev\pgm\2imputations\imputation ASS;36
15000089;01;489.38154303;479.83333333;444444444444;0;56;3136;3;0;12;0;1;1;0;0;1;56;Z:/Ines-dev\pgm\2imputations\imputation ASS;30
15000093;01;523.12158304;1730.8888889;444444444111;1;60;3600;1;1;9;3;;1;0;0;1;60;Z:/Ines-dev\pgm\2imputations\imputation ASS;7
15000095;01;635.98401711;473.33333333;444444444444;1;39;1521;0;0;12;0;0;0;0;1;0;39;Z:/Ines-dev\pgm\2imputations\imputation ASS;20
15000104;01;368.95407513;2151.6;444441111111;1;43;1849;1;0;5;7;;0;0;1;0;43;Z:/Ines-dev\pgm\2imputations\imputation ASS;4
15000120;01;426.07843221;1414.8;111143334444;0;38;1444;1;0;5;4;;1;0;1;0;38;Z:/Ines-dev\pgm\2imputations\imputation ASS;5
15000126;01;543.09700343;986.5;444444444444;1;50;2500;3;0;12;0;;1;0;0;1;50;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000127;01;485.86772376;839.33333333;444111111444;1;39;1521;3;0;6;6;;0;0;1;0;39;Z:/Ines-dev\pgm\2imputations\imputation ASS;24
15000129;01;448.99426104;201.08333333;444444444444;0;40;1600;3;1;12;0;;1;0;1;0;40;Z:/Ines-dev\pgm\2imputations\imputation ASS;18
15000145;02;434.13626258;759.33333333;441111111114;0;31;961;1;0;3;9;0;1;0;1;0;31;Z:/Ines-dev\pgm\2imputations\imputation ASS;3
15000148;02;910.89064357;721;441111111111;1;53;2809;0;0;2;9.7153780799;;0;0;0;1;53;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000150;01;567.94659443;1421.3333333;111444111111;1;47;2209;1;0;3;9;;1;0;1;0;47;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000152;01;490.75700706;1146;441111414444;1;26;676;1;0;7;5;;1;1;0;0;26;Z:/Ines-dev\pgm\2imputations\imputation ASS;1
15000152;02;490.75700706;1903;111111111114;1;25;625;0;0;1;10.065784683;;0;1;0;0;25;Z:/Ines-dev\pgm\2imputations\imputation ASS;1
15000168;03;339.71717972;226;111411111444;0;25;625;0;0;4;8;;1;1;0;0;25;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000171;02;572.0570173;1292.75;111111114444;1;50;2500;2;1;4;8;;1;0;0;1;50;Z:/Ines-dev\pgm\2imputations\imputation ASS;6
15000196;01;879.62593768;932;441111111114;1;40;1600;1;0;3;9;0;1;0;1;0;40;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000209;01;590.35659361;2049;444999992222;0;43;1849;1;0;3;1.41971113;;1;0;1;0;43;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
