"proba_ass";"ident";"noi";"wpela16"
0.161;"14000007";"1";799.270319
0.225;"14000011";"2";445.70121421
0.27;"14000011";"3";445.70121421
0.171;"14000014";"1";605.01238109
0.019;"14000026";"1";568.20185232
0.037;"14000037";"1";696.61827299
0.34;"14000045";"1";822.59327844
0.092;"14000046";"3";1046.1057984
0.141;"14000062";"1";491.46717336
0.332;"14000072";"1";752.4911484
0.142;"14000085";"2";456.34703877
0.126;"14000107";"1";864.12178805
0.289;"14000120";"1";339.31984047
0.025;"14000130";"2";383.29812304
0.058;"14000134";"1";675.47661886
0.772;"14000148";"1";667.24356034
0.062;"14000151";"2";525.64744911
0.076;"14000169";"2";432.58868204
0.223;"14000177";"1";877.42522006
0.618;"14000194";"4";424.74164291
0.367;"14000195";"1";629.05106
0.033;"14000201";"6";993.13740483
0.138;"14000211";"5";813.97059854
0.247;"14000221";"1";383.90186285
0.246;"14000230";"1";457.4855584
0.621;"14000264";"1";631.12868518
0.018;"14000266";"1";730.10342901
0.629;"14000267";"1";733.22965855
0.016;"14000285";"1";966.20580589
0.532;"14000294";"1";373.11065535
0.616;"14000297";"1";506.90717205
0.675;"14000300";"1";191.08444613
0.739;"14000317";"2";517.62907167
0.004;"14000323";"1";722.49899115
0.424;"14000347";"1";561.15708983
0.204;"14000369";"1";487.25685462
0.144;"14000387";"1";550.2283319
0.186;"14000394";"1";1886.6546745
0.795;"14000402";"2";726.34179309
0.039;"14000412";"1";369.56586447
0.137;"14000412";"2";369.56586447
0.085;"14000430";"1";850.44486899
0.055;"14000446";"1";964.21108941
0.025;"14000456";"1";723.25952656
0.032;"14000470";"2";696.58076023
0.249;"14000480";"1";568.35958743
0.081;"14000488";"1";322.74505456
0.099;"14000497";"2";505.05279209
0.006;"14000505";"1";339.72006347
0.037;"14000514";"2";2206.9503581
0.76;"14000520";"1";737.56975183
0.035;"14000521";"2";498.67377525
0.01;"14000524";"1";376.40126686
0.411;"14000540";"2";698.05330589
0.281;"14000548";"1";713.26199351
0.035;"14000554";"1";869.80794057
0.336;"14000568";"1";354.35174636
0.039;"14000591";"2";531.55342619
0.902;"14000600";"1";756.54062936
0.126;"14000614";"3";398.10722507
0.097;"14000618";"1";586.6922054
0.273;"14000627";"1";435.37407884
0.056;"14000627";"2";435.37407884
0.306;"14000629";"1";638.54152394
0.007;"14000638";"2";258.94419857
0.08;"14000642";"1";395.72214807
0.088;"14000657";"4";474.53593896
0.02;"14000678";"1";1075.7925156
0.03;"14000690";"2";468.92096358
0.238;"14000699";"1";243.8621567
0.017;"14000724";"2";486.23812653
0.186;"14000726";"1";358.29176385
0.001;"14000766";"1";602.19416152
0.04;"14000767";"3";519.05963843
0.84;"14000774";"1";728.16431838
0.525;"14000774";"2";728.16431838
0.196;"14000790";"1";628.42409452
0.075;"14000796";"2";610.13227826
0.098;"14000818";"1";259.15061094
0.852;"14000824";"1";1269.5397929
0.094;"14000825";"1";1004.3559908
0.059;"14000826";"1";1325.4718861
0.71;"14000828";"1";526.23956191
0.003;"14000831";"1";574.33675691
0.11;"14000845";"2";683.47439019
0.04;"14000847";"1";598.20004291
0.061;"14000856";"3";667.61622188
0.071;"14000858";"2";683.83310001
0.308;"14000882";"1";352.07193191
0.324;"14000886";"1";1069.6824025
0.707;"14000894";"1";368.87921462
0.113;"14000902";"2";339.97655732
0.02;"14000903";"1";447.35705765
0.225;"14000903";"2";447.35705765
0.01;"14000912";"1";262.60671944
0.052;"14000921";"1";706.61082746
0.202;"14000944";"3";497.82599783
0.048;"14000958";"1";1616.5730539
0.041;"14000958";"2";1616.5730539
0.15;"14000968";"1";1456.6908013
0.257;"14000977";"1";486.76543905
0.021;"14000999";"1";446.52390337
0.069;"14001005";"1";893.64408382
0.028;"14001015";"1";280.65306774
0.516;"14001019";"2";497.96392402
0.051;"14001025";"3";488.36708598
0.031;"14001041";"1";608.67864833
0.239;"14001104";"1";696.11883433
0.004;"14001106";"2";584.40392859
0.035;"14001120";"1";709.15327519
0.319;"14001125";"3";509.05863418
0.173;"14001126";"1";529.39887324
0.161;"14001137";"1";554.37187637
0.009;"14001163";"5";579.61438985
0.022;"14001171";"1";2750.105136
0.114;"14001214";"3";288.69078728
0.261;"14001229";"3";475.70983667
0.963;"14001231";"2";745.68585535
0.08;"14001247";"2";2509.0472948
0.129;"14001248";"1";804.51131136
0.039;"14001287";"1";666.89295662
0.055;"14001287";"2";666.89295662
0.057;"14001291";"2";304.97546664
0.469;"14001297";"1";781.94603748
0.146;"14001310";"1";587.00110248
0.482;"14001332";"1";593.2003862
0.312;"14001333";"3";422.28160463
0.308;"14001358";"2";579.95332271
0.265;"14001370";"3";387.49404294
0.153;"14001375";"1";857.2268117
0.078;"14001378";"3";717.92266563
0.005;"14001389";"2";577.59415252
0.044;"14001393";"1";542.50469718
0.586;"14001401";"2";558.18922308
0.173;"14001419";"2";432.51836875
0.093;"14001428";"1";433.11459313
0.06;"14001443";"2";794.58001733
0.034;"14001461";"1";1223.2790461
0.014;"14001481";"2";425.38225371
0.141;"14001482";"1";745.36549135
0.078;"14001486";"1";1810.2951781
0.215;"14001496";"1";352.24196785
0.075;"14001507";"2";433.34634778
0.049;"14001511";"2";712.06026558
0.075;"14001515";"2";1256.7245313
0.125;"14001524";"1";465.30327763
0.373;"14001529";"3";428.89404805
0.168;"14001532";"2";921.29724154
0.265;"14001536";"2";1131.8987987
0.046;"14001539";"1";468.44282525
0.005;"14001550";"2";832.53907436
0.242;"14001553";"1";746.85592763
0.171;"14001612";"2";259.34927963
0.077;"14001626";"2";335.93379243
0.122;"14001633";"1";735.77568268
0.033;"14001634";"1";456.51346431
0.708;"14001635";"1";458.01860378
0.27;"14001637";"2";746.67756845
0.084;"14001645";"1";816.8070389
0.067;"14001653";"1";778.07061775
0.235;"14001694";"1";576.15127025
0.319;"14001700";"2";965.04484155
0.195;"14001701";"2";576.68790084
0.082;"14001704";"1";516.19720203
0.185;"14001705";"1";738.72945422
0.051;"14001711";"1";499.7570283
0.02;"14001724";"1";494.37105424
0.009;"14001734";"1";666.66383089
0.188;"14001735";"2";660.10925663
0.088;"14001771";"2";375.68498896
0.047;"14001786";"1";726.5492618
0.389;"14001798";"1";805.6626303
0.166;"14001804";"1";389.53500795
0.307;"14001809";"1";521.03886526
0.162;"14001826";"1";791.36759119
0.159;"14001834";"1";667.28391391
0.212;"14001876";"1";536.95593226
0.031;"14001879";"2";1038.4502897
0.603;"14001880";"1";724.63671136
0.159;"14001895";"2";564.34005186
0.252;"14001905";"1";742.93529566
0.469;"14001941";"1";705.43474772
0.049;"14001944";"1";732.59169139
0.19;"14001946";"2";509.89570082
0.039;"14001964";"2";499.94538139
0.027;"14001972";"2";748.56259692
0.02;"14001973";"2";808.28736314
0.006;"14001981";"2";127.61640838
0.065;"14001984";"2";296.64000486
0.263;"14002014";"1";451.52272395
0.354;"14002022";"1";638.01951203
0.116;"14002032";"1";418.25144028
0.033;"14002035";"2";598.33174837
0.033;"14002038";"2";198.61683598
0.036;"14002046";"1";165.12904868
0.039;"14002072";"2";360.55504683
0.049;"14002078";"1";661.07757894
0.042;"14002090";"1";850.29027667
0.193;"14002108";"2";252.41622898
0.049;"14002157";"1";754.06898838
0.563;"14002167";"1";297.73797205
0.037;"14002175";"1";785.20347879
0.109;"14002210";"1";810.65237543
0.09;"14002214";"1";823.47596768
0.035;"14002219";"1";357.42706676
0.2;"14002223";"1";624.04276572
0.068;"14002231";"1";648.36966584
0.146;"14002249";"1";605.91090781
0.133;"14002264";"1";225.1531456
0.234;"14002277";"1";524.15842859
0.033;"14002285";"1";2195.1427114
0.133;"14002302";"2";483.09911394
0.225;"14002304";"1";321.31407935
0.142;"14002310";"1";512.23003141
0.006;"14002320";"2";647.09755511
0.063;"14002326";"1";1182.0520456
0.863;"14002327";"1";591.58436116
0.042;"14002346";"1";1189.2440011
0.542;"14002346";"2";1189.2440011
0.096;"14002359";"1";638.07491612
0.43;"14002369";"1";669.70315374
0.037;"14002382";"2";339.60065779
0.31;"14002398";"1";720.39376493
0.006;"14002409";"1";794.34322635
0.224;"14002416";"2";856.24974037
0.13;"14002430";"1";775.87893005
0.098;"14002433";"2";532.8235854
0.019;"14002448";"1";235.69741825
0.034;"14002460";"2";317.78135219
0.077;"14002468";"1";433.09791701
0.361;"14002468";"2";433.09791701
0.048;"14002473";"1";716.28502736
0.597;"14002477";"1";844.64181025
0.033;"14002481";"1";417.4232804
0.025;"14002485";"2";416.45334292
0.184;"14002491";"1";372.71466727
0.317;"14002503";"1";535.98607505
0.131;"14002503";"2";535.98607505
0.032;"14002533";"1";570.7302175
0.251;"14002533";"2";570.7302175
0.2;"14002534";"1";263.81801721
0.007;"14002541";"1";749.74294901
0.099;"14002542";"1";440.00211478
0.927;"14002561";"1";782.95104172
0.054;"14002570";"1";531.45357004
0.054;"14002572";"1";1636.9238442
0.007;"14002585";"2";660.57758221
0.008;"14002600";"1";628.99158039
0.084;"14002601";"2";524.25206632
0.478;"14002614";"1";439.60849879
0.15;"14002629";"2";427.83071024
0.106;"14002630";"1";265.19131315
0.2;"14002644";"1";837.67642376
0.048;"14002644";"2";837.67642376
0.106;"14002690";"1";451.23973104
0.447;"14002696";"1";369.22103511
0.505;"14002702";"1";577.00340827
0.031;"14002714";"2";299.20979578
0.079;"14002714";"5";299.20979578
0.161;"14002725";"1";413.62059398
0.042;"14002732";"1";342.09918932
0.232;"14002747";"2";807.62126139
0.037;"14002756";"1";923.20335891
0.087;"14002768";"1";506.192314
0.242;"14002798";"1";677.34207103
0.971;"14002821";"1";595.28371867
0.103;"14002837";"1";479.43858959
0.055;"14002844";"1";351.0597526
0.138;"14002871";"1";397.30663169
0.325;"14002910";"1";672.20864805
0.144;"14002910";"3";672.20864805
0.059;"14002960";"2";390.16886544
0.683;"14002975";"2";487.75603806
0.093;"14002977";"1";430.19290261
0.054;"14002977";"2";430.19290261
0.023;"14003026";"2";312.76213178
0.216;"14003028";"1";605.99760978
0.272;"14003062";"2";424.85978432
0.226;"14003067";"1";2566.0962993
0.301;"14003094";"1";319.72566895
0.129;"14003101";"1";602.2652743
0.365;"14003103";"1";838.62238623
0.005;"14003123";"1";579.93858758
0.036;"14003125";"2";374.15672036
0.196;"14003126";"2";730.26582632
0.134;"14003132";"1";190.97632986
0.064;"14003132";"2";190.97632986
0.109;"14003142";"1";219.79880417
0.333;"14003147";"2";419.98062608
0.04;"14003152";"2";347.79181511
0.021;"14003157";"2";309.56732837
0.051;"14003159";"1";945.88519728
0.136;"14003175";"1";503.60114649
0.262;"14003207";"1";302.81069446
0.054;"14003214";"1";333.24277779
0.036;"14003220";"1";460.94744977
0.058;"14003254";"2";580.04225345
0.025;"14003259";"3";681.08181405
0.014;"14003262";"1";663.16519293
0.277;"14003275";"2";428.59981145
0.397;"14003297";"1";926.17134789
0.288;"14003302";"2";409.01588546
0.188;"14003305";"2";682.27913849
0.044;"14003308";"2";625.30238171
0.17;"14003334";"1";516.26930166
0.061;"14003340";"2";462.502966
0.12;"14003362";"2";1065.2137853
0.326;"14003383";"1";594.20232084
0.145;"14003388";"1";461.35398921
0.723;"14003389";"1";598.78005694
0.514;"14003395";"2";817.56042688
0.24;"14003407";"1";755.65097225
0.003;"14003450";"1";593.91749912
0.771;"14003452";"1";2994.991522
0.025;"14003463";"2";1104.4526843
0.063;"14003473";"2";973.38506335
0.411;"14003476";"2";539.66074483
0.166;"14003478";"2";642.12655998
0.015;"14003480";"1";712.63150336
0.121;"14003487";"1";545.36304144
0.028;"14003491";"1";343.69579617
0.022;"14003498";"1";353.34019185
0.012;"14003508";"2";597.66455765
0.025;"14003531";"3";535.5704556
0.031;"14003532";"2";830.42105847
0.693;"14003550";"1";775.37655907
0.052;"14003558";"1";455.7170579
0.142;"14003568";"1";849.42468992
0.086;"14003574";"1";535.24071658
0.019;"14003585";"1";540.09149252
0.01;"14003605";"1";481.99034491
0.071;"14003615";"1";248.59267154
0.73;"14003631";"1";932.58030682
0.01;"14003638";"1";329.78348644
0.297;"14003641";"2";400.75674405
0.898;"14003677";"1";797.66575792
0.115;"14003685";"2";645.9862
0.033;"14003706";"1";485.81214157
0.178;"14003714";"1";296.55686131
0.849;"14003720";"2";567.23377321
0.084;"14003722";"2";1277.0381157
0.138;"14003737";"2";450.80431629
0.039;"14003758";"2";1742.5774554
0.06;"14003768";"1";727.60566851
0.051;"14003768";"2";727.60566851
0.016;"14003782";"2";289.72904404
0.232;"14003789";"1";327.41190614
0.093;"14003813";"2";810.30762314
0.1;"14003826";"2";272.73058388
0.214;"14003842";"1";915.39091159
0.032;"14003844";"1";320.48077792
0.051;"14003844";"2";320.48077792
0.181;"14003847";"1";540.56691471
0.226;"14003875";"1";902.89341764
0.048;"14003899";"1";1050.7258665
0.102;"14003908";"3";460.8947396
0.087;"14003909";"3";448.92019768
0.06;"14003911";"2";822.13433155
0.508;"14003915";"1";462.32364453
0.196;"14003915";"2";462.32364453
0.067;"14003924";"1";425.33781942
0.338;"14003947";"1";254.11988367
0.05;"14004005";"1";315.22665752
0.254;"14004005";"2";315.22665752
0.199;"14004033";"2";465.16723011
0.029;"14004037";"1";295.05115694
0.082;"14004049";"1";502.63477704
0.303;"14004052";"2";433.87899141
0.107;"14004054";"1";346.85802258
0.418;"14004068";"1";435.52780444
0.192;"14004090";"1";482.81039443
0.255;"14004112";"2";317.33638015
0.015;"14004127";"2";456.74135116
0.258;"14004130";"1";936.29558668
0.38;"14004145";"2";647.63016684
0.093;"14004148";"3";751.8336855
0.569;"14004149";"1";615.26184107
0.035;"14004179";"1";636.28878154
0.12;"14004202";"1";535.02535379
0.191;"14004203";"2";567.61886137
0.062;"14004247";"1";695.77396745
0.101;"14004260";"2";464.77558605
0.267;"14004265";"1";528.47445923
0.374;"14004278";"1";1193.2782606
0.114;"14004292";"1";526.53652342
0.297;"14004305";"1";406.89696349
0.031;"14004327";"2";711.63289884
0.212;"14004344";"2";465.5898008
0.084;"14004355";"1";1305.7186249
0.479;"14004360";"1";629.8047707
0.092;"14004373";"1";974.31069819
0.359;"14004405";"2";377.61641416
0.324;"14004425";"1";383.6438069
0.057;"14004427";"1";655.13206872
0.044;"14004427";"3";655.13206872
0.007;"14004450";"1";425.31357518
0.082;"14004539";"1";537.8917618
0.111;"14004547";"2";1153.4008405
0.438;"14004553";"1";554.19322204
0.412;"14004557";"1";369.83969621
0.029;"14004559";"1";927.81429957
0.137;"14004560";"1";263.86696059
0.039;"14004564";"2";397.28649838
0.786;"14004573";"1";331.39016573
0.039;"14004581";"1";1331.1748614
0.014;"14004630";"1";342.13727417
0.232;"14004645";"1";795.96488934
0.11;"14004672";"2";775.77242813
0.159;"14004677";"2";561.5834165
0.1;"14004688";"1";479.12612539
0.357;"14004693";"1";1233.6501883
0.117;"14004701";"2";463.94739747
0.367;"14004709";"1";727.99922206
0.227;"14004728";"1";569.4047239
0.083;"14004743";"1";585.57621977
0.993;"14004745";"1";852.37025293
0.129;"14004761";"2";574.09686973
0.096;"14004762";"1";421.05889626
0.041;"14004769";"1";434.10001768
0.154;"14004774";"2";339.99425525
0.056;"14004790";"1";879.65554576
0.039;"14004795";"1";804.82164333
0.255;"14004812";"1";599.49159946
0.013;"14004818";"1";493.48428977
0.022;"14004826";"1";634.57885145
0.042;"14004826";"2";634.57885145
0.037;"14004828";"1";437.206032
0.052;"14004874";"1";200.86017524
0.015;"14004881";"1";413.14441934
0.703;"14004885";"1";402.20660801
0.066;"14004914";"1";625.92360077
0.07;"14004917";"1";693.99559278
0.114;"14004924";"4";722.33731766
0.093;"14004929";"1";569.44978959
0.631;"14004932";"1";1262.5841961
0.195;"14004950";"2";519.95988494
0.024;"14004952";"1";580.66882954
0.015;"14004957";"1";893.64952401
0.031;"14004960";"1";405.29236108
0.025;"14004981";"1";553.13714443
0.07;"14004988";"1";438.59095211
